candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
220 PC.355_704	222		173815	88.70	222
221 PC.481_573	231		188034	87.40	231
222 PC.481_379	231		177590	95.20	231
223 PC.356_969	242		192175	90.90	242
224 PC.636_766	257		184969	86.40	257
225 PC.481_373	228		176174	90.40	228
226 PC.356_922	227		190369	87.20	227
227 PC.356_921	237		14108	95.40	237
228 PC.355_384	225		14023	97.80	225
229 PC.354_460	231		164968	95.70	231
23 PC.607_531	210		16023	95.20	210
230 PC.607_735	214		131229	86.90	214
231 PC.607_736	238		14001	96.60	238
232 PC.607_738	230		115098	98.70	230
233 PC.635_791	233		14108	91.80	233
234 PC.636_249	223		199354	94.60	223
235 PC.634_190	235		38834	88.10	235
236 PC.354_1014	216		131877	100.00	216
237 PC.607_960	217		207770	88.50	217
238 PC.635_654	239		179241	86.60	239
239 PC.354_1012	207		130034	88.40	207
24 PC.635_955	227		111555	86.80	227
240 PC.481_1171	231		172220	96.50	231
241 PC.354_689	231		135423	88.70	231
242 PC.634_166	247		199514	98.80	247
243 PC.635_552	231		198577	96.10	231
244 PC.354_991	238		18983	91.60	238
245 PC.607_603	235		180288	92.80	235
246 PC.607_245	228		98087	85.50	228
247 PC.607_512	238		175142	88.70	238
248 PC.607_362	230		195325	80.40	230
249 PC.607_367	243		163328	86.00	243
25 PC.481_1073	225		14001	96.40	225
250 PC.593_681	231		135391	88.30	231
251 PC.356_146	237		175240	97.90	237
252 PC.593_683	231		14001	96.10	231
253 PC.593_721	235		182930	89.40	235
254 PC.481_152	235		14023	94.00	235
255 PC.635_352	224		195325	84.80	224
256 PC.481_159	235		14023	95.70	235
257 PC.481_628	214		133406	93.50	214
258 PC.635_235	237		109546	86.50	237
259 PC.356_542	211		133228	93.80	211
26 PC.635_701	233		132206	91.80	233
260 PC.635_902	247		36896	83.80	247
261 PC.481_717	239		181180	89.50	239
262 PC.354_225	235		195325	88.90	235
263 PC.636_944	241		195325	83.40	241
264 PC.356_1145	230		187845	90.40	230
265 PC.634_25	218		198577	92.70	218
266 PC.356_641	244		182806	91.40	244
267 PC.607_775	234		135884	98.30	234
268 PC.593_819	238		133375	97.10	238
269 PC.636_337	233		182458	92.30	233
27 PC.607_269	247		163328	88.70	247
270 PC.354_826	211		72970	93.40	211
271 PC.354_820	207		49406	92.80	207
272 PC.355_743	226		166297	92.90	226
273 PC.354_257	229		190369	100.00	229
274 PC.636_426	260		191612	100.00	260
275 PC.356_797	246		133091	94.70	246
276 PC.607_1137	212		16072	93.40	212
277 PC.356_790	231		185760	91.30	231
278 PC.607_172	236		163874	95.80	236
279 PC.481_323	259		182830	88.40	259
28 PC.636_560	256		18983	87.90	256
280 PC.635_510	218		132198	92.20	218
281 PC.355_248	225		168711	90.70	225
282 PC.593_1316	232		21232	85.80	232
283 PC.634_157	227		153827	99.60	227
284 PC.355_241	222		180288	94.60	222
285 PC.634_158	247		190559	96.40	247
286 PC.593_1318	222		83226	83.30	222
287 PC.481_967	235		130302	96.20	235
288 PC.356_1200	235		228860	88.50	235
289 PC.355_1100	220		132691	100.00	220
29 PC.634_46	231		198568	95.20	231
290 PC.481_1130	225		180687	96.00	225
291 PC.607_280	231		199567	93.90	231
292 PC.636_113	253		146872	92.90	253
293 PC.635_1055	222		111274	86.50	222
294 PC.607_655	217		134379	88.50	217
295 PC.481_1229	238		164872	97.10	238
296 PC.635_568	220		103772	91.40	220
297 PC.635_605	240		199413	91.20	240
298 PC.635_562	231		133406	94.40	231
299 PC.355_642	246		190311	93.90	246
3 PC.356_222	239		38834	95.40	239
30 PC.635_920	209		192067	94.30	209
300 PC.481_741	235		177876	85.50	235
301 PC.356_453	231		180288	93.50	231
302 PC.607_946	235		172220	93.60	235
303 PC.356_17	235		135750	97.90	235
304 PC.593_914	220		11057	97.70	220
305 PC.607_421	222		130302	93.20	222
306 PC.607_358	235		180288	97.00	235
307 PC.635_943	235		164968	95.70	235
308 PC.607_96	225		14001	95.10	225
309 PC.355_415	243		192175	90.10	243
31 PC.634_44	220		111384	95.00	220
310 PC.481_260	237		131443	96.20	237
311 PC.635_264	248		196985	95.60	248
312 PC.636_61	221		15221	82.80	221
313 PC.635_463	218		195858	96.30	218
314 PC.481_107	222		180288	97.70	222
315 PC.636_506	249		196985	88.00	249
316 PC.634_76	215		131573	91.60	215
317 PC.634_77	221		175120	85.50	221
318 PC.481_580	235		199567	94.50	235
319 PC.634_78	223		108381	96.40	223
32 PC.635_927	231		134266	99.10	231
320 PC.481_669	214		131250	99.10	214
321 PC.356_1030	215		135807	92.10	215
322 PC.607_1157	240		11382	86.70	240
323 PC.356_1034	239		131973	84.90	239
324 PC.636_976	254		18983	85.40	254
325 PC.636_481	215		196210	91.20	215
326 PC.356_671	235		195507	98.30	235
327 PC.607_727	212		51677	99.10	212
328 PC.607_638	223		42538	83.40	223
329 PC.354_520	231		199119	91.30	231
33 PC.634_41	225		51880	97.80	225
330 PC.607_397	231		183173	93.50	231
331 PC.355_326	243		68844	88.90	243
332 PC.354_913	225		68844	93.30	225
333 PC.356_934	220		199567	97.70	220
334 PC.607_1128	242		115098	96.70	242
335 PC.356_1082	231		150575	93.90	231
336 PC.607_925	221		196134	93.20	221
337 PC.635_396	225		52441	83.10	225
338 PC.635_390	243		14035	96.70	243
339 PC.593_549	246		38834	94.30	246
34 PC.356_561	218		34464	89.00	218
340 PC.635_392	215		195858	88.80	215
341 PC.636_253	226		180430	92.90	226
342 PC.636_398	238		198568	100.00	238
343 PC.635_649	206		192067	94.20	206
344 PC.635_131	242		190559	90.90	242
345 PC.636_391	244		193690	88.50	244
346 PC.634_188	213		192067	93.40	213
347 PC.636_394	218		186812	97.20	218
348 PC.607_953	248		179958	88.30	248
349 PC.593_74	245		137514	99.60	245
35 PC.635_647	215		177876	86.00	215
350 PC.481_855	235		68844	94.00	235
351 PC.481_854	237		172220	94.10	237
352 PC.481_856	236		52311	84.30	236
353 PC.593_436	204		182930	92.20	204
354 PC.634_115	225		14001	95.10	225
355 PC.593_1240	231		130744	100.00	231
356 PC.634_110	238		176276	92.00	238
357 PC.607_597	231		181466	93.50	231
358 PC.635_523	231		46567	80.10	231
359 PC.593_345	218		195100	89.90	218
36 PC.607_1008	238		135872	93.30	238
360 PC.635_16	221		52441	81.40	221
361 PC.635_15	207		100526	96.60	207
362 PC.634_147	214		175192	98.10	214
363 PC.635_970	253		18983	89.70	253
364 PC.634_233	220		177590	100.00	220
365 PC.634_230	237		132206	92.80	237
366 PC.355_1242	220		150575	94.50	220
367 PC.355_1243	235		133650	95.30	235
368 PC.355_1245	235		14001	95.30	235
369 PC.607_662	220		49406	92.30	220
37 PC.481_71	220		135391	100.00	220
370 PC.607_314	249		182806	94.80	249
371 PC.635_821	221		148915	87.80	221
372 PC.481_1087	239		182630	96.20	239
373 PC.635_636	235		185873	100.00	235
374 PC.635_829	235		199567	94.90	235
375 PC.607_1023	211		133406	89.60	211
376 PC.634_5	236		129921	99.20	236
377 PC.354_858	237		189445	93.20	237
378 PC.634_8	241		179241	90.90	241
379 PC.634_9	231		199354	100.00	231
38 PC.607_1006	236		42372	86.40	236
380 PC.356_250	225		130699	92.90	225
381 PC.356_1148	235		131066	92.80	235
382 PC.481_632	236		199413	92.80	236
383 PC.607_75	243		190369	90.10	243
384 PC.356_557	218		174278	89.90	218
385 PC.356_555	242		178515	89.70	242
386 PC.356_554	224		199379	94.60	224
387 PC.356_412	209		192067	99.00	209
388 PC.356_1256	235		133650	94.90	235
389 PC.356_1170	238		190311	97.50	238
39 PC.607_1007	244		11382	88.90	244
390 PC.356_1172	239		190369	97.10	239
391 PC.634_36	236		135391	91.10	236
392 PC.634_34	238		172220	96.60	238
393 PC.356_1179	206		102910	94.20	206
394 PC.356_327	235		68844	93.20	235
395 PC.481_685	222		14001	94.60	222
396 PC.355_283	224		132011	88.40	224
397 PC.593_395	244		38834	98.40	244
398 PC.607_1040	237		111555	87.80	237
399 PC.634_88	243		188911	98.80	243
4 PC.481_1284	225		228860	95.60	225
40 PC.355_1151	248		38834	92.70	248
400 PC.634_83	243		18983	99.60	243
401 PC.634_82	238		14001	94.10	238
402 PC.355_1119	231		14023	96.10	231
403 PC.354_1101	231		169721	97.00	231
404 PC.355_1298	244		68844	93.40	244
405 PC.481_457	222		134698	95.50	222
406 PC.481_359	240		172220	99.20	240
407 PC.634_140	225		133228	95.10	225
408 PC.634_143	218		15734	98.20	218
409 PC.636_219	235		199413	92.30	235
41 PC.607_755	227		132691	93.40	227
410 PC.634_149	221		155994	86.00	221
411 PC.636_877	222		150575	92.80	222
412 PC.607_912	235		195221	94.00	235
413 PC.636_284	231		132008	99.60	231
414 PC.634_19	220		52441	85.00	220
415 PC.355_1050	235		68844	93.60	235
416 PC.481_1104	238		172220	97.50	238
417 PC.355_1054	237		192175	93.70	237
418 PC.636_690	231		130699	95.70	231
42 PC.354_841	231		68844	97.40	231
43 PC.607_1180	226		130302	92.90	226
44 PC.593_1057	227		199379	100.00	227
45 PC.354_336	235		164968	95.30	235
46 PC.636_404	232		1872	100.00	232
47 PC.481_483	225		83226	92.90	225
48 PC.607_198	240		188573	94.20	240
49 PC.593_1294	218		192175	94.50	218
5 PC.635_1020	235		176174	89.40	235
50 PC.354_1214	237		189445	95.80	237
51 PC.593_1296	232		193897	91.80	232
52 PC.481_998	237		199413	93.70	237
53 PC.635_694	242		192175	93.80	242
54 PC.636_223	248		132011	89.10	248
55 PC.593_1324	238		130744	92.90	238
56 PC.636_148	245		179958	93.90	245
57 PC.593_1272	241		162684	95.40	241
58 PC.636_637	237		166297	92.80	237
59 PC.593_528	235		186820	95.30	235
6 PC.354_612	225		133650	91.10	225
60 PC.481_900	235		68844	89.80	235
61 PC.356_1265	235		133843	97.40	235
62 PC.607_894	243		195431	94.20	243
63 PC.356_1260	226		186820	91.20	226
64 PC.355_295	226		18983	91.20	226
65 PC.607_892	219		192067	92.20	219
66 PC.635_530	222		132198	97.30	222
67 PC.481_862	222		134266	96.40	222
68 PC.481_863	231		134631	99.10	231
69 PC.355_461	241		162684	95.40	241
7 PC.481_434	234		192175	90.60	234
70 PC.607_575	233		50218	89.30	233
71 PC.355_1231	211		105813	88.60	211
72 PC.635_72	221		52441	83.70	221
73 PC.634_150	209		163639	100.00	209
74 PC.607_676	256		18983	89.80	256
75 PC.607_304	248		135872	99.20	248
76 PC.354_1041	221		21822	88.70	221
77 PC.635_745	235		190311	92.80	235
78 PC.635_623	240		15734	86.20	240
79 PC.354_1048	224		180288	96.00	224
8 PC.354_668	205		70198	89.80	205
80 PC.356_1253	235		195431	99.60	235
81 PC.356_1165	216		162211	90.30	216
82 PC.636_6	239		187087	97.50	239
83 PC.607_1122	210		16023	94.80	210
84 PC.356_769	235		182920	93.20	235
85 PC.481_1022	238		172220	93.70	238
86 PC.481_1026	218		111274	86.70	218
87 PC.481_1029	218		135391	96.30	218
88 PC.593_936	232		186820	89.70	232
89 PC.635_366	224		134698	99.10	224
9 PC.593_402	214		130746	98.10	214
90 PC.356_234	239		181180	90.80	239
91 PC.356_239	220		42395	85.00	220
92 PC.356_1290	241		68844	88.00	241
93 PC.481_285	235		133650	95.30	235
94 PC.356_338	231		135391	93.10	231
95 PC.354_776	235		135462	96.20	235
96 PC.636_594	239		1929	99.60	239
97 PC.634_99	246		166297	90.20	246
98 PC.607_1072	235		183202	88.10	235
99 PC.634_91	238		26642	81.90	238
PyNastAligner parameters:
Algorithm:NAST
Application:PyNAST
blast_db:None
min_len:150
min_pct:75.0
pairwise_alignment_method:uclust
template_filepath:/Users/caporaso/data/greengenes_core_sets/core_set_aligned_imputed.fasta_11_8_07.no_dots
