	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_101_0.biom	101	0	102.111111111	217.125	195.5	296.666666667	88.0	134.769230769	98.6666666667	145.1	108.666666667
alpha_rarefaction_101_1.biom	101	1	176.0	177.25	352.0	263.857142857	56.8571428571	123.076923077	108.142857143	170.0	176.5
alpha_rarefaction_101_2.biom	101	2	146.166666667	159.333333333	243.0	248.142857143	100.25	192.5	122.428571429	214.666666667	117.111111111
alpha_rarefaction_101_3.biom	101	3	122.375	183.75	165.0	261.0	139.0	159.0	140.0	226.2	117.75
alpha_rarefaction_101_4.biom	101	4	180.0	171.875	322.333333333	208.666666667	71.625	350.2	87.75	180.0	102.5
alpha_rarefaction_101_5.biom	101	5	133.333333333	234.5	479.5	243.166666667	60.3333333333	222.375	139.875	256.0	93.3333333333
alpha_rarefaction_101_6.biom	101	6	97.6666666667	171.875	155.857142857	209.666666667	52.0	193.5	98.6666666667	215.666666667	168.0
alpha_rarefaction_101_7.biom	101	7	127.1	172.909090909	156.857142857	241.25	76.1428571429	230.75	110.5	179.0	135.25
alpha_rarefaction_101_8.biom	101	8	86.4285714286	155.6	212.5	242.111111111	87.5	188.333333333	182.0	137.333333333	130.75
alpha_rarefaction_101_9.biom	101	9	150.428571429	183.111111111	116.125	389.2	108.0	296.2	91.6153846154	276.2	84.0
alpha_rarefaction_114_0.biom	114	0	112.545454545	222.111111111	115.111111111	187.833333333	67.0	183.6	152.5	188.5	104.461538462
alpha_rarefaction_114_1.biom	114	1	171.142857143	241.0	157.857142857	220.5	94.2	213.1	127.0	212.0	125.0
alpha_rarefaction_114_2.biom	114	2	165.428571429	213.0	206.857142857	266.111111111	53.0	135.0	132.111111111	194.142857143	119.0
alpha_rarefaction_114_3.biom	114	3	164.428571429	151.25	189.666666667	293.0	121.25	209.666666667	137.333333333	160.333333333	139.333333333
alpha_rarefaction_114_4.biom	114	4	146.625	174.909090909	138.875	258.666666667	77.5	200.090909091	111.272727273	162.0	110.1
alpha_rarefaction_114_5.biom	114	5	164.428571429	179.0	96.6	202.6	107.142857143	160.0	123.363636364	174.142857143	150.142857143
alpha_rarefaction_114_6.biom	114	6	139.875	175.909090909	196.5	287.875	65.25	129.230769231	103.8	219.125	111.666666667
alpha_rarefaction_114_7.biom	114	7	123.428571429	207.8	156.857142857	241.3	64.25	158.461538462	118.111111111	219.125	164.0
alpha_rarefaction_114_8.biom	114	8	171.142857143	128.5	163.428571429	310.142857143	71.625	146.5	146.625	191.375	161.857142857
alpha_rarefaction_114_9.biom	114	9	126.0	201.6	139.0	319.428571429	97.0	200.6	135.0	153.0	110.1
alpha_rarefaction_127_0.biom	127	0	152.5	183.5	230.5	282.333333333	101.5	180.0	129.909090909	319.428571429	141.333333333
alpha_rarefaction_127_1.biom	127	1	165.625	197.272727273	189.666666667	372.0	137.5	186.833333333	143.666666667	292.0	124.125
alpha_rarefaction_127_2.biom	127	2	109.5	211.666666667	131.545454545	260.666666667	76.1428571429	203.333333333	143.666666667	237.0	111.1
alpha_rarefaction_127_3.biom	127	3	147.625	209.8	110.5	268.111111111	64.3333333333	232.545454545	110.1	213.0	150.625
alpha_rarefaction_127_4.biom	127	4	108.666666667	349.5	141.666666667	299.0	89.4285714286	162.071428571	117.583333333	234.75	135.111111111
alpha_rarefaction_127_5.biom	127	5	135.0	198.5	178.0	263.0	99.0	179.0	181.0	265.5	134.1
alpha_rarefaction_127_6.biom	127	6	164.625	222.5	205.5	236.6	81.5	163.071428571	117.545454545	227.375	121.75
alpha_rarefaction_127_7.biom	127	7	184.0	175.0	185.0	270.1	132.0	249.909090909	114.5	234.75	114.272727273
alpha_rarefaction_127_8.biom	127	8	110.272727273	210.0	199.428571429	351.125	81.4285714286	215.1	129.909090909	265.5	111.1
alpha_rarefaction_127_9.biom	127	9	166.428571429	200.769230769	169.875	330.857142857	85.8571428571	197.272727273	138.0	230.0	160.0
alpha_rarefaction_140_0.biom	140	0	150.111111111	211.0	170.0	433.0	90.0	176.0	130.333333333	178.25	158.666666667
alpha_rarefaction_140_1.biom	140	1	136.0	217.0	189.375	275.090909091	85.625	197.071428571	128.3	188.833333333	147.666666667
alpha_rarefaction_140_2.biom	140	2	146.1	247.363636364	176.0	371.75	75.0	206.153846154	143.0	210.0	147.666666667
alpha_rarefaction_140_3.biom	140	3	150.111111111	200.75	146.0	324.333333333	119.5	179.75	138.0	198.75	122.75
alpha_rarefaction_140_4.biom	140	4	241.166666667	200.75	188.333333333	315.8	105.0	193.0	118.583333333	215.0	135.1
alpha_rarefaction_140_5.biom	140	5	154.666666667	201.769230769	164.111111111	341.111111111	73.625	193.0	151.111111111	216.1	185.0
alpha_rarefaction_140_6.biom	140	6	154.666666667	196.461538462	170.0	286.6	94.25	233.5	114.5	198.272727273	119.583333333
alpha_rarefaction_140_7.biom	140	7	155.666666667	206.333333333	176.0	272.1	82.1111111111	221.583333333	127.363636364	193.25	135.1
alpha_rarefaction_140_8.biom	140	8	172.0	201.769230769	164.5	294.0	102.375	183.071428571	127.363636364	192.545454545	140.0
alpha_rarefaction_140_9.biom	140	9	209.857142857	201.769230769	176.0	308.1	74.6666666667	192.0	126.0	222.5	147.666666667
