	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_49_3.biom	49	3	3.61352	3.69857	3.09224	4.71766	2.68189	3.15353	2.91617	4.53514	4.54497
alpha_rarefaction_49_4.biom	49	4	3.97155	4.05883	3.31622	3.98652	3.34716	3.3957	2.89832	4.08368	4.16573
alpha_rarefaction_49_5.biom	49	5	4.13988	3.83069	3.09817	4.95781	3.04833	3.91345	2.67827	4.20926	4.78451
alpha_rarefaction_49_6.biom	49	6	3.22534	3.69854	2.94003	5.56649	3.536	3.49384	3.25974	4.44389	4.74513
alpha_rarefaction_49_7.biom	49	7	3.74289	4.23723	2.96039	5.19476	3.66117	3.44071	2.84141	5.21623	3.38395
alpha_rarefaction_49_8.biom	49	8	4.06337	3.79799	3.09105	4.82116	3.55141	3.29896	3.21644	4.53991	4.75035
alpha_rarefaction_49_9.biom	49	9	3.61269	3.98132	3.05816	4.5163	3.48143	3.60315	3.25242	4.56208	4.26776
alpha_rarefaction_62_0.biom	62	0	3.47515	4.20369	3.92571	4.78794	3.74823	4.11473	3.7542	4.80129	4.74152
alpha_rarefaction_62_1.biom	62	1	4.21452	4.09012	3.23358	5.11966	3.6758	3.86896	3.24167	5.13418	5.1424
alpha_rarefaction_62_2.biom	62	2	4.52183	4.75169	3.18483	4.35299	4.22799	3.60803	2.99241	4.78018	4.84648
alpha_rarefaction_62_3.biom	62	3	4.74511	4.83818	3.0922	5.08835	3.7374	3.50909	2.98788	4.79073	5.2405
alpha_rarefaction_62_4.biom	62	4	3.88126	4.34578	3.62812	5.18544	3.98448	3.55549	3.41641	4.16823	4.85624
alpha_rarefaction_62_5.biom	62	5	3.79639	4.19864	3.36832	5.51711	3.00439	3.72735	3.48358	4.86845	4.95003
alpha_rarefaction_62_6.biom	62	6	4.11099	4.02152	3.23852	5.38053	3.68833	4.21651	3.20571	5.16914	5.28199
alpha_rarefaction_62_7.biom	62	7	4.55409	4.16033	3.59933	5.15135	3.92295	3.84745	3.01953	5.42701	4.71501
alpha_rarefaction_62_8.biom	62	8	4.20327	4.60308	3.55723	5.3421	3.27983	4.03294	3.39778	5.4349	4.78593
alpha_rarefaction_62_9.biom	62	9	4.80978	4.31841	3.60693	5.09996	3.81266	3.5941	3.59373	5.19488	4.82744
alpha_rarefaction_75_0.biom	75	0	5.07114	4.26417	3.8182	5.22752	3.64519	4.21005	3.16399	5.26095	5.07554
alpha_rarefaction_75_1.biom	75	1	4.42431	4.58515	3.33805	5.73104	3.54893	4.34782	3.91728	5.61301	4.97702
alpha_rarefaction_75_2.biom	75	2	5.08658	4.78667	4.44823	5.6966	3.94746	4.38899	3.44595	4.93354	4.47368
alpha_rarefaction_75_3.biom	75	3	5.28007	5.03743	4.03112	5.10378	3.74931	4.01441	3.93762	5.21192	4.903
alpha_rarefaction_75_4.biom	75	4	5.11225	4.78123	3.71093	5.71082	4.0932	4.09771	3.27641	5.58201	5.09781
alpha_rarefaction_75_5.biom	75	5	4.76548	4.14022	3.34503	5.94285	4.26148	3.9518	3.96335	5.53436	5.65657
alpha_rarefaction_75_6.biom	75	6	5.16527	5.20725	3.93032	4.99772	3.85077	4.07833	3.94891	5.72384	5.13255
alpha_rarefaction_75_7.biom	75	7	4.62603	4.92809	3.74913	4.97908	3.94527	3.96075	3.31995	5.61259	5.61771
alpha_rarefaction_75_8.biom	75	8	4.70127	4.67953	3.69318	5.13319	4.06883	3.88646	3.5246	5.33226	5.69754
alpha_rarefaction_75_9.biom	75	9	5.2833	5.05967	4.21705	5.2533	4.05239	4.13429	3.36129	5.60647	4.94473
alpha_rarefaction_88_0.biom	88	0	5.08433	4.94916	4.49104	5.4601	4.30158	4.47744	3.89113	6.55153	5.49353
alpha_rarefaction_88_1.biom	88	1	5.53449	5.4074	4.49561	5.58009	4.40273	4.85529	3.66717	5.35905	5.50945
alpha_rarefaction_88_2.biom	88	2	5.52429	5.49618	4.31948	5.99211	4.28193	3.84296	3.85507	5.76115	4.74991
alpha_rarefaction_88_3.biom	88	3	5.60848	4.80987	3.86128	5.73829	4.11364	4.85298	4.10522	5.6566	5.4507
alpha_rarefaction_88_4.biom	88	4	5.09366	4.84829	3.9891	5.82199	3.92764	4.47158	3.57587	6.17859	5.81573
alpha_rarefaction_88_5.biom	88	5	5.07469	5.22247	4.31477	5.41219	4.19574	4.5821	3.67134	5.74573	5.42053
alpha_rarefaction_88_6.biom	88	6	5.16996	4.98119	4.49964	5.67741	4.59382	4.92817	3.95362	6.57231	5.54453
alpha_rarefaction_88_7.biom	88	7	5.59156	4.7	4.25546	5.37069	4.48652	4.47553	3.95501	5.87268	5.18936
alpha_rarefaction_88_8.biom	88	8	5.16631	5.362	3.68637	6.14299	3.84842	4.14049	3.73189	5.63328	5.35614
alpha_rarefaction_88_9.biom	88	9	5.74243	5.07985	3.95831	5.60877	4.32668	4.55642	3.44076	5.73224	5.04827
alpha_rarefaction_101_0.biom	101	0	5.88635	5.60624	5.07489	6.28015	4.21087	5.08172	4.03341	6.52065	6.13095
alpha_rarefaction_101_1.biom	101	1	6.07743	5.38022	5.00706	6.26198	4.33305	4.63711	3.86748	6.50526	5.93859
alpha_rarefaction_101_2.biom	101	2	5.12616	4.98713	4.31118	6.30597	4.10819	4.98092	3.82915	6.22132	5.70948
alpha_rarefaction_101_3.biom	101	3	5.50432	5.50646	4.41573	6.23376	4.58844	4.9781	4.00014	5.73605	6.119
alpha_rarefaction_101_4.biom	101	4	6.03532	5.10753	4.78254	6.7974	4.54676	4.88153	4.30305	6.44375	5.65283
alpha_rarefaction_101_5.biom	101	5	5.66717	5.21495	4.42039	6.23137	4.27957	5.06443	4.37995	6.43407	5.81683
alpha_rarefaction_101_6.biom	101	6	5.70169	5.52903	5.17298	6.60237	3.9937	5.02436	4.05617	6.53643	5.91913
alpha_rarefaction_101_7.biom	101	7	5.91256	5.58098	5.02391	6.43573	4.33795	5.36628	4.26939	6.30592	5.83618
alpha_rarefaction_101_8.biom	101	8	4.93198	5.12153	3.98727	6.58964	4.22967	5.08365	4.2206	5.6107	5.99845
alpha_rarefaction_101_9.biom	101	9	5.73822	5.58541	4.78164	6.11083	4.44171	5.10086	4.22734	6.29669	5.49198
alpha_rarefaction_114_0.biom	114	0	5.87733	5.82732	5.03647	6.74707	4.01965	4.79105	4.30103	6.85173	6.0395
alpha_rarefaction_114_1.biom	114	1	6.1511	5.75577	5.17551	6.50828	4.61863	5.29384	4.25294	7.02511	6.29123
alpha_rarefaction_114_2.biom	114	2	6.09901	5.44426	5.42386	6.85182	4.30741	5.04701	4.41306	6.24704	6.43607
alpha_rarefaction_114_3.biom	114	3	5.81491	5.81993	5.07585	6.63741	4.58252	5.22963	4.55943	6.75583	6.06635
alpha_rarefaction_114_4.biom	114	4	6.22939	5.90786	4.63611	6.67139	4.20533	5.37712	4.55884	6.72134	6.18332
alpha_rarefaction_114_5.biom	114	5	6.31977	5.30096	4.65308	6.66694	4.83375	5.18741	4.48912	6.40913	6.22421
alpha_rarefaction_114_6.biom	114	6	5.67384	5.9062	4.92793	6.81323	4.38804	4.88069	4.21211	6.92384	5.76703
alpha_rarefaction_114_7.biom	114	7	5.51913	5.84511	4.82302	6.36209	4.47561	4.91192	4.51182	6.81177	6.07698
alpha_rarefaction_114_8.biom	114	8	5.98991	5.64553	4.88411	6.85968	4.35467	4.89373	4.30074	6.39783	6.23887
alpha_rarefaction_114_9.biom	114	9	5.80974	5.83561	4.84621	6.88254	4.44477	5.45572	4.64644	6.61518	6.181
alpha_rarefaction_127_0.biom	127	0	6.2407	6.19102	5.35852	7.10117	4.80955	5.41693	4.64416	7.431	6.4856
alpha_rarefaction_127_1.biom	127	1	6.34792	6.06016	5.08408	6.61163	4.59919	5.2943	4.47211	7.04918	6.08921
alpha_rarefaction_127_2.biom	127	2	5.76222	5.94652	5.23215	6.66242	4.5188	5.61191	4.61637	7.35008	5.98039
alpha_rarefaction_127_3.biom	127	3	6.22482	6.03591	4.70461	6.99448	4.3789	5.56556	4.53313	6.84218	6.44036
alpha_rarefaction_127_4.biom	127	4	5.6853	6.1317	5.22618	7.17073	4.7691	5.19062	4.4994	7.11265	6.28516
alpha_rarefaction_127_5.biom	127	5	6.42058	5.69703	5.01128	6.74855	4.71261	5.38727	4.53943	7.29771	6.46505
alpha_rarefaction_127_6.biom	127	6	6.37111	6.03611	4.63143	7.05859	4.70733	5.55387	4.65341	6.83369	6.56449
alpha_rarefaction_127_7.biom	127	7	6.07466	6.18135	5.20254	6.97658	4.71452	5.47739	4.55625	7.15364	6.34532
alpha_rarefaction_127_8.biom	127	8	6.04793	5.87478	5.41204	7.23069	4.57646	5.44049	4.73402	7.30925	6.13913
alpha_rarefaction_127_9.biom	127	9	6.18236	6.26746	5.16451	6.84545	4.62112	5.33008	4.62554	7.07658	6.17643
alpha_rarefaction_140_0.biom	140	0	6.41948	6.24335	5.43118	7.34032	4.92271	5.63448	4.78656	7.108	6.61362
alpha_rarefaction_140_1.biom	140	1	6.47532	6.18726	5.10715	7.0232	4.73432	5.64754	4.27214	7.35722	6.31466
alpha_rarefaction_140_2.biom	140	2	6.3519	6.33954	5.42241	7.42921	4.84251	5.50346	4.78951	7.47864	6.48642
alpha_rarefaction_140_3.biom	140	3	6.50789	6.06573	5.46927	7.25166	4.87282	5.58838	4.67734	7.34238	6.51218
alpha_rarefaction_140_4.biom	140	4	6.56023	6.28417	5.576	7.41906	4.89765	5.77076	4.66212	7.33123	6.57428
alpha_rarefaction_140_5.biom	140	5	6.44355	6.17907	5.44716	7.38148	4.53815	5.75292	4.6694	7.19589	6.57568
alpha_rarefaction_140_6.biom	140	6	6.37437	6.26436	5.45262	7.18892	4.84955	5.74097	4.6825	7.19122	6.49314
alpha_rarefaction_140_7.biom	140	7	6.56977	6.13971	5.42979	7.12596	4.8848	5.49682	4.6143	7.4371	6.31261
alpha_rarefaction_140_8.biom	140	8	6.63305	5.97451	5.51183	7.27132	4.92271	5.62505	4.76154	7.27125	6.51484
alpha_rarefaction_140_9.biom	140	9	6.63305	6.23097	5.35045	7.39985	4.65959	5.69948	4.7814	7.43071	6.523
