	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_49_5.biom	49	5	112.333333333	137.2	115.333333333	110.6	89.3333333333	37.5	39.3333333333	103.666666667	66.0
alpha_rarefaction_49_6.biom	49	6	121.0	127.0	69.1428571429	61.6666666667	42.5	65.25	181.0	99.0	64.0
alpha_rarefaction_49_7.biom	49	7	58.6666666667	88.75	64.625	105.428571429	97.0	38.5	72.0	143.75	114.25
alpha_rarefaction_49_8.biom	49	8	112.25	145.75	285.0	99.0	105.0	56.5	76.2	114.25	92.5
alpha_rarefaction_49_9.biom	49	9	130.0	251.0	120.75	72.4285714286	106.0	42.0	56.6	129.5	101.0
alpha_rarefaction_62_0.biom	62	0	71.5	178.0	112.857142857	153.857142857	141.333333333	51.6666666667	77.8571428571	118.5	89.2
alpha_rarefaction_62_1.biom	62	1	114.25	94.6666666667	154.2	139.5	129.5	71.75	73.4285714286	98.0	107.2
alpha_rarefaction_62_2.biom	62	2	86.2	163.0	394.5	211.5	171.333333333	67.0	51.375	182.25	125.0
alpha_rarefaction_62_3.biom	62	3	82.6	167.142857143	124.666666667	74.1	94.25	48.0	91.1666666667	101.142857143	109.0
alpha_rarefaction_62_4.biom	62	4	139.333333333	191.75	98.0	293.0	123.0	67.0	92.3333333333	155.2	103.0
alpha_rarefaction_62_5.biom	62	5	80.4285714286	79.8571428571	81.875	109.0	74.1666666667	38.0	76.2	89.1428571429	64.0
alpha_rarefaction_62_6.biom	62	6	130.5	144.166666667	102.142857143	148.6	108.0	35.2	70.1428571429	83.4285714286	93.0
alpha_rarefaction_62_7.biom	62	7	160.0	208.666666667	114.125	164.166666667	101.0	43.5	95.25	416.5	105.666666667
alpha_rarefaction_62_8.biom	62	8	88.75	166.142857143	157.0	174.0	141.333333333	63.2	111.6	200.5	74.4285714286
alpha_rarefaction_62_9.biom	62	9	92.5	264.25	107.428571429	78.8	122.75	84.0	137.5	164.0	139.2
alpha_rarefaction_75_0.biom	75	0	112.6	174.0	242.2	198.2	171.333333333	65.6666666667	80.8571428571	158.2	80.8571428571
alpha_rarefaction_75_1.biom	75	1	111.5	149.666666667	103.666666667	133.0	358.0	108.0	78.625	133.0	88.2727272727
alpha_rarefaction_75_2.biom	75	2	59.6666666667	155.0	152.0	206.0	303.0	73.1428571429	81.875	125.666666667	115.6
alpha_rarefaction_75_3.biom	75	3	89.75	227.5	188.6	224.2	210.5	103.0	165.0	188.6	113.5
alpha_rarefaction_75_4.biom	75	4	81.4285714286	243.2	152.0	234.6	102.0	48.0	67.625	138.5	110.2
alpha_rarefaction_75_5.biom	75	5	118.2	188.666666667	125.75	296.0	216.0	91.75	88.25	117.125	53.0
alpha_rarefaction_75_6.biom	75	6	93.0	162.111111111	172.5	103.125	194.0	70.0	108.666666667	243.0	125.75
alpha_rarefaction_75_7.biom	75	7	132.0	204.5	167.0	233.6	116.25	59.5	60.5	172.0	66.1111111111
alpha_rarefaction_75_8.biom	75	8	117.25	594.5	150.428571429	180.2	95.0	57.5	321.5	126.142857143	56.1111111111
alpha_rarefaction_75_9.biom	75	9	88.2	197.428571429	175.0	188.666666667	502.0	56.75	134.0	165.0	93.75
alpha_rarefaction_88_0.biom	88	0	254.0	158.0	139.090909091	231.5	212.5	77.4285714286	93.75	182.0	116.857142857
alpha_rarefaction_88_1.biom	88	1	108.428571429	170.875	157.0	246.2	104.142857143	51.4285714286	115.857142857	109.5	117.5
alpha_rarefaction_88_2.biom	88	2	136.0	362.0	168.166666667	191.6	265.25	158.5	105.142857143	183.0	93.5
alpha_rarefaction_88_3.biom	88	3	202.5	393.5	175.5	223.0	131.0	77.1666666667	129.0	180.75	93.3333333333
alpha_rarefaction_88_4.biom	88	4	87.25	230.5	142.1	170.166666667	240.333333333	70.0	66.0	171.142857143	70.2727272727
alpha_rarefaction_88_5.biom	88	5	136.5	170.0	189.666666667	486.0	90.3333333333	91.2	146.166666667	137.0	87.0
alpha_rarefaction_88_6.biom	88	6	96.5	175.25	189.666666667	168.0	201.5	137.0	89.1111111111	146.142857143	86.0
alpha_rarefaction_88_7.biom	88	7	131.5	232.5	139.090909091	215.666666667	130.0	58.4285714286	117.125	205.5	117.125
alpha_rarefaction_88_8.biom	88	8	179.2	236.6	134.25	227.2	141.2	73.1428571429	177.0	184.0	106.142857143
alpha_rarefaction_88_9.biom	88	9	151.0	257.0	146.142857143	121.0	125.666666667	74.75	110.428571429	221.0	123.5
alpha_rarefaction_101_0.biom	101	0	108.5	227.375	176.8	142.090909091	166.166666667	129.0	136.0	177.5	284.333333333
alpha_rarefaction_101_1.biom	101	1	159.0	212.0	145.1	399.6	131.0	71.0	111.333333333	240.166666667	147.625
alpha_rarefaction_101_2.biom	101	2	128.666666667	254.625	107.090909091	147.0	164.0	75.1428571429	97.6	170.875	91.1111111111
alpha_rarefaction_101_3.biom	101	3	134.0	354.2	110.076923077	173.1	114.111111111	52.5454545455	116.111111111	184.0	99.6
alpha_rarefaction_101_4.biom	101	4	151.428571429	207.666666667	182.75	255.428571429	172.5	60.0	206.5	204.0	100.666666667
alpha_rarefaction_101_5.biom	101	5	99.375	317.428571429	249.0	171.1	114.111111111	90.0	93.0	125.3	63.0833333333
alpha_rarefaction_101_6.biom	101	6	167.166666667	272.428571429	181.111111111	240.0	132.25	71.0	135.0	276.2	146.2
alpha_rarefaction_101_7.biom	101	7	167.166666667	302.75	231.0	309.0	155.857142857	71.0	140.0	170.875	113.333333333
alpha_rarefaction_101_8.biom	101	8	132.0	173.1	297.0	129.909090909	215.0	63.25	182.2	215.666666667	108.0
alpha_rarefaction_101_9.biom	101	9	145.142857143	154.0	206.857142857	172.875	165.166666667	131.0	98.6666666667	172.142857143	129.142857143
alpha_rarefaction_114_0.biom	114	0	236.25	245.111111111	206.8	202.6	156.857142857	79.4285714286	124.428571429	191.375	85.2142857143
alpha_rarefaction_114_1.biom	114	1	212.666666667	214.0	149.0	178.8	177.0	72.0	117.111111111	166.625	100.6
alpha_rarefaction_114_2.biom	114	2	154.0	223.111111111	206.8	234.0	160.0	81.1666666667	120.6	172.0	118.0
alpha_rarefaction_114_3.biom	114	3	140.0	369.0	140.833333333	140.272727273	130.111111111	97.0	83.4615384615	153.0	129.0
alpha_rarefaction_114_4.biom	114	4	165.428571429	249.875	177.8	173.0	144.625	89.4285714286	107.230769231	248.142857143	134.75
alpha_rarefaction_114_5.biom	114	5	114.0	240.3	209.666666667	219.125	189.666666667	76.3333333333	92.3333333333	151.3	119.111111111
alpha_rarefaction_114_6.biom	114	6	190.666666667	252.333333333	215.333333333	242.111111111	170.142857143	75.3333333333	118.111111111	365.0	132.142857143
alpha_rarefaction_114_7.biom	114	7	121.0	242.25	189.333333333	163.272727273	290.5	83.8571428571	118.111111111	162.0	112.666666667
alpha_rarefaction_114_8.biom	114	8	124.375	231.0	213.333333333	201.6	109.272727273	55.125	130.75	232.0	108.1
alpha_rarefaction_114_9.biom	114	9	101.0	203.6	159.090909091	242.25	177.0	65.6666666667	109.1	225.0	120.6
alpha_rarefaction_127_0.biom	127	0	147.111111111	323.333333333	182.5	192.545454545	146.111111111	85.625	138.25	223.111111111	102.75
alpha_rarefaction_127_1.biom	127	1	174.142857143	469.6	251.333333333	231.0	147.111111111	112.666666667	120.6	167.0	162.857142857
alpha_rarefaction_127_2.biom	127	2	173.142857143	235.6	237.909090909	266.5	284.6	84.8571428571	113.076923077	164.272727273	113.5
alpha_rarefaction_127_3.biom	127	3	98.75	312.142857143	226.272727273	217.1	188.375	89.4285714286	182.0	230.0	150.625
alpha_rarefaction_127_4.biom	127	4	199.5	342.0	174.0	257.625	140.666666667	85.625	127.375	153.25	133.1
alpha_rarefaction_127_5.biom	127	5	137.272727273	340.428571429	213.75	274.666666667	144.1	77.5	147.625	272.666666667	170.428571429
alpha_rarefaction_127_6.biom	127	6	110.076923077	290.111111111	162.4	259.666666667	168.875	65.1	127.3	208.8	114.5
alpha_rarefaction_127_7.biom	127	7	223.0	266.272727273	214.0	258.625	192.142857143	146.2	126.3	208.8	139.0
alpha_rarefaction_127_8.biom	127	8	142.666666667	275.666666667	247.1	168.0	199.428571429	170.0	119.0	227.375	151.625
alpha_rarefaction_127_9.biom	127	9	141.090909091	291.111111111	198.0	216.1	148.3	84.625	113.5	191.333333333	124.125
alpha_rarefaction_140_0.biom	140	0	166.625	324.333333333	193.0	229.272727273	181.6	82.1111111111	106.583333333	210.0	133.0
alpha_rarefaction_140_1.biom	140	1	155.666666667	294.0	198.071428571	223.090909091	203.0	98.75	118.545454545	193.25	135.1
alpha_rarefaction_140_2.biom	140	2	149.111111111	308.1	158.058823529	257.0	203.0	75.0	121.75	204.090909091	152.625
alpha_rarefaction_140_3.biom	140	3	144.666666667	324.333333333	175.25	235.545454545	164.111111111	82.1111111111	130.909090909	274.666666667	146.875
alpha_rarefaction_140_4.biom	140	4	146.1	272.25	190.2	257.0	154.6	110.142857143	126.0	186.909090909	142.333333333
alpha_rarefaction_140_5.biom	140	5	195.142857143	286.6	211.615384615	191.230769231	149.3	89.875	127.363636364	178.25	122.0
alpha_rarefaction_140_6.biom	140	6	155.6	362.375	211.615384615	235.545454545	176.0	82.1111111111	145.666666667	194.25	143.333333333
alpha_rarefaction_140_7.biom	140	7	161.333333333	315.8	186.4	257.0	170.0	85.0	127.363636364	252.333333333	129.363636364
alpha_rarefaction_140_8.biom	140	8	185.75	259.333333333	172.4	223.090909091	182.111111111	86.0	114.272727273	216.1	191.0
alpha_rarefaction_140_9.biom	140	9	171.0	324.333333333	190.2	241.909090909	170.0	85.0	114.076923077	192.545454545	116.272727273
